id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,detailed-label
443,0,0.0,3.154212,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,3.089987,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,3.121713,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,41420.482745,18320,18320,3.0,-1,-1,1579,8295,348808,8699,366587,1,5
443,0,0.0,3.106261,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,2.186769,3042,0,6.0,-1,-1,1582,3,1600,5,224,1,5
443,0,0.0,3.145482,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,44325.615625,19431,19431,10.0,-1,-1,4500,8872,372893,9307,388975,1,5
443,0,0.0,3.118731,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,33909.408809,16438,16438,3.0,-1,-1,2472,6793,285885,7129,301794,1,5
443,0,0.0,1.191069,0,0,2.0,-1,-1,0,2,120,1,40,1,5
443,0,0.0,3.12022,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,3.141213,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,5
443,0,0.0,3.10498,0,0,1.0,-1,-1,0,3,180,0,0,1,5
443,0,0.0,29513.600849,14734,14734,7.0,-1,-1,5390,5895,248182,6147,257816,1,5
443,0,0.0,22388.393741,12183,12183,10.0,-1,-1,2472,4485,189231,4702,200386,1,5
